Province/State,Country/Region,Lat,Long,Date,Confirmed,Deaths,Recovered,Active,WHO Region
,Afghanistan,33.93911,67.709953,22-01-2020,0,0,0,0,Eastern Mediterranean
,Albania,41.1533,20.1683,22-01-2020,0,0,0,0,Europe
,Algeria,28.0339,1.6596,22-01-2020,0,0,0,0,Africa
,Andorra,42.5063,1.5218,22-01-2020,0,0,0,0,Europe
,Angola,-11.2027,17.8739,22-01-2020,0,0,0,0,Africa
,Antigua and Barbuda,17.0608,-61.7964,22-01-2020,0,0,0,0,Americas
,Argentina,-38.4161,-63.6167,22-01-2020,0,0,0,0,Americas
,Armenia,40.0691,45.0382,22-01-2020,0,0,0,0,Europe
Australian Capital Territory,Australia,-35.4735,149.0124,22-01-2020,0,0,0,0,Western Pacific
New South Wales,Australia,-33.8688,151.2093,22-01-2020,0,0,0,0,Western Pacific
Northern Territory,Australia,-12.4634,130.8456,22-01-2020,0,0,0,0,Western Pacific
Queensland,Australia,-27.4698,153.0251,22-01-2020,0,0,0,0,Western Pacific
South Australia,Australia,-34.9285,138.6007,22-01-2020,0,0,0,0,Western Pacific
Tasmania,Australia,-42.8821,147.3272,22-01-2020,0,0,0,0,Western Pacific
Victoria,Australia,-37.8136,144.9631,22-01-2020,0,0,0,0,Western Pacific
Western Australia,Australia,-31.9505,115.8605,22-01-2020,0,0,0,0,Western Pacific
,Austria,47.5162,14.5501,22-01-2020,0,0,0,0,Europe
,Azerbaijan,40.1431,47.5769,22-01-2020,0,0,0,0,Europe
,Bahamas,25.025885,-78.035889,22-01-2020,0,0,0,0,Americas
,Bahrain,26.0275,50.55,22-01-2020,0,0,0,0,Eastern Mediterranean
,Bangladesh,23.685,90.3563,22-01-2020,0,0,0,0,South-East Asia
,Barbados,13.1939,-59.5432,22-01-2020,0,0,0,0,Americas
,Belarus,53.7098,27.9534,22-01-2020,0,0,0,0,Europe
,Belgium,50.8333,4.469936,22-01-2020,0,0,0,0,Europe
,Benin,9.3077,2.3158,22-01-2020,0,0,0,0,Africa
,Bhutan,27.5142,90.4336,22-01-2020,0,0,0,0,South-East Asia
,Bolivia,-16.2902,-63.5887,22-01-2020,0,0,0,0,Americas
,Bosnia and Herzegovina,43.9159,17.6791,22-01-2020,0,0,0,0,Europe
,Brazil,-14.235,-51.9253,22-01-2020,0,0,0,0,Americas
,Brunei,4.5353,114.7277,22-01-2020,0,0,0,0,Western Pacific
,Bulgaria,42.7339,25.4858,22-01-2020,0,0,0,0,Europe
,Burkina Faso,12.2383,-1.5616,22-01-2020,0,0,0,0,Africa
,Cabo Verde,16.5388,-23.0418,22-01-2020,0,0,0,0,Africa
,Cambodia,11.55,104.9167,22-01-2020,0,0,0,0,Western Pacific
,Cameroon,3.848,11.5021,22-01-2020,0,0,0,0,Africa
Alberta,Canada,53.9333,-116.5765,22-01-2020,0,0,0,0,Americas
British Columbia,Canada,53.7267,-127.6476,22-01-2020,0,0,0,0,Americas
Manitoba,Canada,53.7609,-98.8139,22-01-2020,0,0,0,0,Americas
New Brunswick,Canada,46.5653,-66.4619,22-01-2020,0,0,0,0,Americas
Newfoundland and Labrador,Canada,53.1355,-57.6604,22-01-2020,0,0,0,0,Americas
Nova Scotia,Canada,44.682,-63.7443,22-01-2020,0,0,0,0,Americas
Ontario,Canada,51.2538,-85.3232,22-01-2020,0,0,0,0,Americas
Prince Edward Island,Canada,46.5107,-63.4168,22-01-2020,0,0,0,0,Americas
Quebec,Canada,52.9399,-73.5491,22-01-2020,0,0,0,0,Americas
Saskatchewan,Canada,52.9399,-106.4509,22-01-2020,0,0,0,0,Americas
,Central African Republic,6.6111,20.9394,22-01-2020,0,0,0,0,Africa
,Chad,15.4542,18.7322,22-01-2020,0,0,0,0,Africa
,Chile,-35.6751,-71.543,22-01-2020,0,0,0,0,Americas
Anhui,China,31.8257,117.2264,22-01-2020,1,0,0,1,Western Pacific
Beijing,China,40.1824,116.4142,22-01-2020,14,0,0,14,Western Pacific
Chongqing,China,30.0572,107.874,22-01-2020,6,0,0,6,Western Pacific
